iter	Passed	Remaining
839	22097	4209
840	22120	4182
841	22145	4155
842	22170	4128
843	22197	4102
844	22219	4075
845	22241	4048
846	22265	4021
847	22291	3995
848	22316	3969
849	22339	3942
850	22364	3915
851	22386	3888
852	22408	3861
853	22432	3835
854	22456	3808
855	22478	3781
856	22501	3754
857	22524	3727
858	22550	3701
859	22573	3674
860	22600	3648
861	22621	3621
862	22644	3594
863	22668	3568
864	22696	3542
865	22717	3515
866	22742	3488
867	22822	3470
868	22863	3446
869	22896	3421
870	22920	3394
871	22949	3368
872	22971	3341
873	22994	3314
874	23015	3287
875	23042	3261
876	23066	3235
877	23098	3209
878	23127	3183
879	23151	3156
880	23215	3135
881	23269	3113
882	23310	3088
883	23349	3063
884	23387	3039
885	23420	3013
886	23455	2988
887	23487	2962
888	23517	2936
889	23555	2911
890	23592	2886
891	23624	2860
892	23654	2834
893	23695	2809
894	23724	2783
895	23751	2756
896	23780	2730
897	23865	2710
898	23913	2686
899	23947	2660
900	23975	2634
901	24002	2607
902	24033	2581
903	24069	2556
904	24101	2530
905	24132	2503
906	24164	2477
907	24201	2452
908	24242	2426
909	24274	2400
910	24304	2374
911	24334	2348
912	24372	2322
913	24395	2295
914	24421	2268
915	24446	2241
916	24473	2215
917	24496	2188
918	24521	2161
919	24542	2134
920	24570	2107
921	24591	2080
922	24617	2053
923	24638	2026
924	24661	1999
925	24689	1973
926	24710	1945
927	24735	1919
928	24758	1892
929	24782	1865
930	24806	1838
931	24831	1811
932	24898	1787
933	24934	1761
934	24973	1736
935	25000	1709
936	25027	1682
937	25053	1655
938	25079	1629
939	25101	1602
940	25132	1575
941	25162	1549
942	25191	1522
943	25223	1496
944	25255	1469
945	25287	1443
946	25313	1416
947	25341	1390
948	25367	1363
949	25394	1336
950	25418	1309
951	25439	1282
952	25458	1255
953	25484	1228
954	25510	1202
955	25535	1175
956	25557	1148
957	25582	1121
958	25607	1094
959	25635	1068
960	25658	1041
961	25685	1014
962	25708	987
963	25734	961
964	25758	934
965	25783	907
966	25808	880
967	25833	853
968	25857	827
969	25893	800
970	25962	775
971	25992	748
972	26017	721
973	26043	695
974	26065	668
975	26086	641
976	26112	614
977	26137	587
978	26163	561
979	26186	534
980	26215	507
981	26247	481
982	26273	454
983	26293	427
984	26321	400
985	26343	374
986	26366	347
987	26391	320
988	26414	293
989	26442	267
990	26464	240
991	26488	213
992	26513	186
993	26540	160
994	26567	133
995	26588	106
996	26618	80
997	26645	53
998	26672	26
999	26697	0
