iter	Passed	Remaining
776	17289	4962
777	17309	4939
778	17332	4917
779	17360	4896
780	17385	4875
781	17403	4851
782	17422	4828
783	17448	4807
784	17472	4785
785	17495	4763
786	17518	4741
787	17538	4718
788	17563	4696
789	17586	4674
790	17609	4652
791	17629	4630
792	17652	4608
793	17674	4585
794	17699	4563
795	17719	4541
796	17741	4518
797	17767	4497
798	17790	4475
799	17814	4453
800	17834	4430
801	17853	4407
802	17876	4385
803	17897	4363
804	17920	4340
805	17944	4319
806	17970	4297
807	18008	4279
808	18040	4259
809	18063	4237
810	18084	4214
811	18111	4193
812	18134	4171
813	18156	4148
814	18178	4126
815	18200	4104
816	18223	4081
817	18246	4059
818	18272	4038
819	18296	4016
820	18313	3992
821	18335	3970
822	18361	3948
823	18388	3927
824	18411	3905
825	18430	3882
826	18446	3858
827	18468	3836
828	18494	3814
829	18519	3793
830	18544	3771
831	18566	3748
832	18588	3726
833	18611	3704
834	18633	3682
835	18654	3659
836	18672	3636
837	18695	3614
838	18714	3591
839	18737	3568
840	18759	3546
841	18782	3524
842	18808	3502
843	18831	3480
844	18854	3458
845	18878	3436
846	18902	3414
847	18926	3392
848	18949	3370
849	18972	3348
850	18997	3326
851	19029	3305
852	19058	3284
853	19077	3261
854	19102	3239
855	19125	3217
856	19145	3194
857	19165	3171
858	19188	3149
859	19212	3127
860	19237	3105
861	19260	3083
862	19276	3060
863	19302	3038
864	19326	3016
865	19351	2994
866	19372	2971
867	19397	2949
868	19422	2927
869	19446	2905
870	19469	2883
871	19491	2861
872	19516	2839
873	19539	2816
874	19560	2794
875	19583	2772
876	19609	2750
877	19634	2728
878	19653	2705
879	19677	2683
880	19701	2661
881	19721	2638
882	19743	2616
883	19763	2593
884	19783	2570
885	19808	2548
886	19830	2526
887	19863	2505
888	19889	2483
889	19913	2461
890	19938	2439
891	19964	2417
892	19991	2395
893	20033	2375
894	20063	2353
895	20090	2331
896	20118	2310
897	20144	2288
898	20171	2266
899	20197	2244
900	20225	2222
901	20254	2200
902	20282	2178
903	20308	2156
904	20335	2134
905	20360	2112
906	20388	2090
907	20415	2068
908	20453	2047
909	20483	2025
910	20504	2003
911	20526	1980
912	20553	1958
913	20577	1936
914	20598	1913
915	20621	1891
916	20646	1868
917	20665	1845
918	20687	1823
919	20709	1800
920	20733	1778
921	20754	1755
922	20778	1733
923	20801	1710
924	20822	1688
925	20843	1665
926	20868	1643
927	20890	1620
928	20911	1598
929	20931	1575
930	20951	1552
931	20973	1530
932	20998	1507
933	21022	1485
934	21077	1465
